manifest_version,dataset,source_url,source_page,zip_filename,zip_relative_path,zip_sha256,zip_size_bytes,txt_filename,txt_relative_work_path,txt_sha256,year,month,period_start,period_end,encoding_detected,encoding_detection_method,expected_record_length,min_record_length,max_record_length,total_rows,valid_length_rows,short_rows,long_rows,empty_rows,download_status,extraction_status,inspection_status,processed_at_utc,schema_version,overall_status
1.0,defunciones,,https://www.tse.go.cr/descarga_movimientos.html,def_abril2026_01_02.zip,defunciones\movimientos\2026\04_abril\01_02\def_abril2026_01_02.zip,ae56335eb5cd9d2046f34dc281e8b9d3d9cfff148aa3f35315bf279ec7056d6d,20342,MOVWEBDEF.txt,defunciones\def_abril2026_01_02\MOVWEBDEF.txt,c81ef4e6717d5afc61448ac6b17aaf17b23c16bba8334ca6f29812dc1f53396b,2026,4,1,2,latin-1,SCHEMA_FALLBACK_AFTER_UTF8_FAILURE,191,191,191,82,82,0,0,0,ALREADY_PRESENT,ALREADY_EXTRACTED,INSPECTED,2026-09-06T00:06:47.585876+00:00,1.0,OK
1.0,defunciones,,https://www.tse.go.cr/descarga_movimientos.html,def_abril2026_03_09.zip,defunciones\movimientos\2026\04_abril\03_09\def_abril2026_03_09.zip,c6d175a98b8317a123dbb28f4d794a44b509935d111f3628f1fec7a5c1ef2dab,32167,MOVWEBDEF.txt,defunciones\def_abril2026_03_09\MOVWEBDEF.txt,bcaba9ecf641e00f65659ee88096d95bc19a723b15ec72680b2f78efe156ca70,2026,4,3,9,latin-1,SCHEMA_FALLBACK_AFTER_UTF8_FAILURE,191,191,191,503,503,0,0,0,ALREADY_PRESENT,ALREADY_EXTRACTED,INSPECTED,2026-09-06T00:06:47.591775+00:00,1.0,OK
1.0,defunciones,,https://www.tse.go.cr/descarga_movimientos.html,def_abril2026_10_16.zip,defunciones\movimientos\2026\04_abril\10_16\def_abril2026_10_16.zip,2d9e15201e894d43ea1fe15b98fd8a8462c96b68863643c60f88bbb984922dbd,40949,MOVWEBDEF.txt,defunciones\def_abril2026_10_16\MOVWEBDEF.txt,ce9f46ef297b911c0f7d2f7c24cc9ff632cfed3a79fcadac373a669a766656eb,2026,4,10,16,latin-1,SCHEMA_FALLBACK_AFTER_UTF8_FAILURE,191,191,191,793,793,0,0,0,ALREADY_PRESENT,ALREADY_EXTRACTED,INSPECTED,2026-09-06T00:06:47.594454+00:00,1.0,OK
1.0,defunciones,,https://www.tse.go.cr/descarga_movimientos.html,def_abril2026_17_23.zip,defunciones\movimientos\2026\04_abril\17_23\def_abril2026_17_23.zip,05fe14a952ba47c813a915752b19c85d27d8bd6ed89d43c4e8e7c98fc8c7e5d6,34636,MOVWEBDEF.txt,defunciones\def_abril2026_17_23\MOVWEBDEF.txt,bc0799187431520d50c8417d19685a3a3137319e371b6c5fb302fe5db529100f,2026,4,17,23,latin-1,SCHEMA_FALLBACK_AFTER_UTF8_FAILURE,191,191,191,549,549,0,0,0,ALREADY_PRESENT,ALREADY_EXTRACTED,INSPECTED,2026-09-06T00:06:47.601775+00:00,1.0,OK
1.0,defunciones,,https://www.tse.go.cr/descarga_movimientos.html,def_abril2026_24_30.zip,defunciones\movimientos\2026\04_abril\24_30\def_abril2026_24_30.zip,d1f33106e7b66839ce9a5972c190870ecf4dfe311dd8a321cac4f94d1996a0e3,50081,MOVWEBDEF.txt,defunciones\def_abril2026_24_30\MOVWEBDEF.txt,85fe3f144f8b3a1950d29c00c371d2462adc8f602d4067c2e85e033235fd1db4,2026,4,24,30,latin-1,SCHEMA_FALLBACK_AFTER_UTF8_FAILURE,191,191,191,1105,1105,0,0,0,ALREADY_PRESENT,ALREADY_EXTRACTED,INSPECTED,2026-09-06T00:06:47.610471+00:00,1.0,OK
1.0,defunciones,,https://www.tse.go.cr/descarga_movimientos.html,def_agosto2026_01_06.zip,defunciones\movimientos\2026\08_agosto\01_06\def_agosto2026_01_06.zip,d833373e5140e7716c21707aaf9f03b4bbc46008e0e7da6c5f3af4a029b7311a,32883,MOVWEBDEF.txt,defunciones\def_agosto2026_01_06\MOVWEBDEF.txt,88f77decd7507715634fef7a805d44e9a1cc8382bd8c6224cff93ba7a2f3859b,2026,8,1,6,latin-1,SCHEMA_FALLBACK_AFTER_UTF8_FAILURE,191,191,191,502,502,0,0,0,ALREADY_PRESENT,ALREADY_EXTRACTED,INSPECTED,2026-09-06T00:06:47.691778+00:00,1.0,OK
1.0,defunciones,,https://www.tse.go.cr/descarga_movimientos.html,def_febrero2026_01_05.zip,defunciones\movimientos\2026\02_febrero\01_05\def_febrero2026_01_05.zip,483f50f0ddeb3950a217588a02589713545bafada92bf5ffc3a7e871b2e9419c,27207,MOVWEBDEF.txt,defunciones\def_febrero2026_01_05\MOVWEBDEF.txt,b5b318c10b9c3d8e08a9fcc2058e6fff2b9609f9ddb9376aec52d2e8cb5c7966,2026,2,1,5,latin-1,SCHEMA_FALLBACK_AFTER_UTF8_FAILURE,191,191,191,329,329,0,0,0,ALREADY_PRESENT,ALREADY_EXTRACTED,INSPECTED,2026-09-06T00:06:47.531707+00:00,1.0,OK
1.0,defunciones,,https://www.tse.go.cr/descarga_movimientos.html,def_febrero2026_06_12.zip,defunciones\movimientos\2026\02_febrero\06_12\def_febrero2026_06_12.zip,e98b8d26ebb9152697cd080f4d7fb1707b3ce678165522ca0641101f9b2db91f,36494,MOVWEBDEF.txt,defunciones\def_febrero2026_06_12\MOVWEBDEF.txt,0c308023d34afa633b0f1e5c571706add2c80f765f140f0b1d7f708e4df95ce1,2026,2,6,12,latin-1,SCHEMA_FALLBACK_AFTER_UTF8_FAILURE,191,191,191,649,649,0,0,0,ALREADY_PRESENT,ALREADY_EXTRACTED,INSPECTED,2026-09-06T00:06:47.539154+00:00,1.0,OK
1.0,defunciones,,https://www.tse.go.cr/descarga_movimientos.html,def_febrero2026_13_19.zip,defunciones\movimientos\2026\02_febrero\13_19\def_febrero2026_13_19.zip,6bf75a1fb5fc4cf1216574176759e5c3dbd6ead097aaa45cf29bb7b1fb174561,41831,MOVWEBDEF.txt,defunciones\def_febrero2026_13_19\MOVWEBDEF.txt,fe5e76d1ca920aa5e55d0650b7c0746882f57dc243148dddb380db83a8ffcd8f,2026,2,13,19,latin-1,SCHEMA_FALLBACK_AFTER_UTF8_FAILURE,191,191,191,826,826,0,0,0,ALREADY_PRESENT,ALREADY_EXTRACTED,INSPECTED,2026-09-06T00:06:47.543882+00:00,1.0,OK
1.0,defunciones,,https://www.tse.go.cr/descarga_movimientos.html,def_febrero2026_20_26.zip,defunciones\movimientos\2026\02_febrero\20_26\def_febrero2026_20_26.zip,ca99b9bf41da268a883baa525cd3ddc1aebbe0dc0edd76b04b0d1c6001a43151,38228,MOVWEBDEF.txt,defunciones\def_febrero2026_20_26\MOVWEBDEF.txt,a4a8d2f5fd5ecd82c77c590a9fb4afd871c810b0947e31e02bb5bd6600658e84,2026,2,20,26,latin-1,SCHEMA_FALLBACK_AFTER_UTF8_FAILURE,191,191,191,705,705,0,0,0,ALREADY_PRESENT,ALREADY_EXTRACTED,INSPECTED,2026-09-06T00:06:47.548396+00:00,1.0,OK
